conname,contype,src_table,src_cols,tgt_table,tgt_cols,confdeltype
rating_rating_rated_partner_id_fkey,f,rating_rating,rated_partner_id,res_partner,id,n
rating_rating_res_model_id_fkey,f,rating_rating,res_model_id,ir_model,id,c
rating_rating_write_uid_fkey,f,rating_rating,write_uid,res_users,id,n
rating_rating_pkey,p,rating_rating,id,,, 
rel_badge_auth_users_gamification_badge_id_fkey,f,rel_badge_auth_users,gamification_badge_id,gamification_badge,id,c
rel_badge_auth_users_res_users_id_fkey,f,rel_badge_auth_users,res_users_id,res_users,id,c
rel_badge_auth_users_pkey,p,rel_badge_auth_users,"gamification_badge_id,res_users_id",,, 
rel_modules_langexport_module_id_fkey,f,rel_modules_langexport,module_id,ir_module_module,id,c
rel_modules_langexport_wiz_id_fkey,f,rel_modules_langexport,wiz_id,base_language_export,id,c
rel_modules_langexport_pkey,p,rel_modules_langexport,"wiz_id,module_id",,, 
report_layout_create_uid_fkey,f,report_layout,create_uid,res_users,id,n
report_layout_view_id_fkey,f,report_layout,view_id,ir_ui_view,id,r
report_layout_write_uid_fkey,f,report_layout,write_uid,res_users,id,n
report_layout_pkey,p,report_layout,id,,, 
report_paperformat_create_uid_fkey,f,report_paperformat,create_uid,res_users,id,n
report_paperformat_write_uid_fkey,f,report_paperformat,write_uid,res_users,id,n
report_paperformat_pkey,p,report_paperformat,id,,, 
res_bank_country_fkey,f,res_bank,country,res_country,id,n
res_bank_create_uid_fkey,f,res_bank,create_uid,res_users,id,n
res_bank_state_fkey,f,res_bank,state,res_country_state,id,n
res_bank_write_uid_fkey,f,res_bank,write_uid,res_users,id,n
res_bank_pkey,p,res_bank,id,,, 
res_company_account_cash_basis_base_account_id_fkey,f,res_company,account_cash_basis_base_account_id,account_account,id,n
